thread_number,1e6_ops
1,2617901.980263
2,4552482.398771
3,6585500.721501
4,8487017.087455
5,10314214.286878
6,11865862.640560
7,13952838.234728
8,15170208.526046
9,17106959.020263
10,19119648.408021
11,20942103.565194
12,22840608.344985
13,25138063.903020
14,26832564.182353
15,28195806.454623
16,29837699.623162
17,30535822.458865
18,32496189.253127
19,33769140.982280
20,33073434.567368
21,33113729.700704
22,32355390.574700
23,32516301.641374
24,32171310.943924
25,31235535.018955
26,26282909.553832
27,32673633.077322
28,33859108.862114
29,34145165.370670
30,34593689.848060
31,34705272.070939
32,33236361.816220
33,33985876.896968
34,28150014.806908
35,36505835.220472
36,36825429.933212
37,37172805.891860
38,37502225.757099
39,36342879.953725
40,36548780.524354
