cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,237503311,44609,59648995,1051615647
2,237163783,46169,60161001,528781220
3,236577237,44179,59727477,353643457
4,237037400,43317,60003317,266253856
5,235566629,45442,59549699,213358935
6,235795198,45462,60072537,178358075
7,236352618,45173,59809900,152961937
8,236217580,47249,59809966,134090800
9,236191351,40255,59965891,119413462
10,239185975,47037,60020157,107882685
11,236478777,46798,59872522,98263598
12,236620656,48117,60818366,90046517
13,236783600,39613,59884628,83096158
14,236317545,47662,59845112,77204684
15,237427574,47893,60015495,72286524
16,236222543,38724,59749009,67819182
17,236680921,48557,60179121,63969043
18,236900494,47381,60328244,60459207
19,237016878,43757,60088568,57359086
20,236392756,39104,60068928,54678399
21,235869922,47320,59880963,52197544
22,236669055,39973,60308064,50117558
23,236331014,41153,60489182,48087869
24,236105163,47969,68096384,46264587
25,235637235,47621,59972720,44564644
26,236055260,43314,59997539,43148515
27,236493442,43146,60248376,41529131
28,236378902,50369,60199379,40375657
29,235473626,45533,59982898,38879184
30,235547364,51977,59951276,37902812
31,235266179,52273,59992757,37352936
32,236166568,52041,60147543,35801696
33,236017149,58561,60338258,35348692
34,237087308,52389,60487752,33839476
35,236432606,51544,60566101,33088320
36,237743182,51949,60814314,32192172
37,236711663,43557,60251368,31348160
38,237099851,52633,60434490,30673131
39,236122904,52867,60535717,29950547
40,236530520,52226,60377187,29392574
