cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,237842586,44459,6498180,3567858
2,238134364,44889,6489403,2425814
3,238520722,44731,6565914,2148417
4,237853444,35704,6581146,1804807
5,238741534,37120,6575010,1683437
6,237849676,38142,6489150,1579874
7,239152974,36536,6587174,1620648
8,237285524,48809,6714902,1648961
9,238964921,39798,6585170,1610287
10,239363831,46946,6571745,1647186
11,237592911,45693,6599675,1632382
12,239203634,39150,6564501,1607514
13,239309166,46100,6624613,1551117
14,239159527,48751,6582543,1578307
15,239266046,48731,6597540,1657568
16,239143771,48504,6603453,1623880
17,239274802,47607,6642314,1696204
18,238061417,48562,6749966,2162162
19,239060393,46542,6717200,2071863
20,239412662,50198,6616039,2078719
21,239401274,45091,6623269,6103796
22,242364449,50516,6667137,2083085
23,237727895,44835,6669731,2275448
24,239445212,56464,6628731,2082726
25,237747274,48411,6623579,10218749
26,237276698,53082,6575481,2406271
27,240950123,51096,6843850,4373261
28,237772130,43913,6570944,2319360
29,238483548,42980,6609733,2339771
30,237366467,49475,6567938,2539945
31,236703219,50591,6567540,3132969
32,238401848,74796,6607805,2767066
33,238008655,57850,6575272,2720347
34,237068144,43489,6606816,2685634
35,237053986,51806,6647427,2902985
36,235876428,49124,6627774,3472794
37,236509283,43704,6619422,18704787
38,237814270,51280,6601513,3101216
39,237454663,52776,6672451,3392777
40,237005193,50938,6640996,4273685
