cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,239771006,40195,732749,101517631
2,238425491,37989,721778,51210401
3,239100232,41516,725375,34468267
4,239701526,42511,740484,26116727
5,239493933,36816,725183,21069795
6,239844316,40400,729324,17786508
7,239496158,38291,738307,15420971
8,239725962,37549,744020,13680676
9,240180500,47724,726158,12327038
10,239166046,45360,720095,12645824
11,241836739,37064,725402,10469007
12,239847435,53082,727264,9689515
13,240063420,45864,728873,9243557
14,244000239,50584,846652,8580605
15,239831986,46745,737843,8577559
16,241088635,42455,733384,7770892
17,239062422,41162,731077,7380350
18,239932163,45551,726645,7119852
19,238191558,44553,741853,6925085
20,239616020,44390,719729,6640605
21,240611318,46087,737285,6436783
22,239562933,46836,726917,6405204
23,239923567,43318,732266,6187509
24,238790220,46190,741695,5892755
25,240274228,45024,729749,5952321
26,237259036,50070,735769,5615644
27,240244998,42198,760093,5743693
28,238898064,43673,728715,5388464
29,237579987,41309,739349,5506769
30,238603713,50251,741883,5526012
31,240075409,43247,725509,5207762
32,252878906,45434,734933,5231118
33,239784619,48909,743299,5169451
34,237723758,50883,738578,7364138
35,238942638,50072,731536,5122318
36,238774565,39746,731164,4968838
37,237905672,42747,734209,5007373
38,240081559,46027,730595,5054053
39,241541984,49931,750922,5260948
40,241125047,45104,729475,5568092
