cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,236414048,44733,6592495,3557435
2,236920528,44326,6593274,2413551
3,236501438,35189,6830608,2038948
4,237115124,44348,6580747,1826161
5,237048727,45375,6578527,1647413
6,235994719,45688,6606487,1575905
7,237551699,45248,6607373,1528833
8,237635240,45735,6593567,1558787
9,236301502,50995,6551712,1556144
10,236253432,49375,6602978,1600714
11,235542109,47309,6589933,1605349
12,236754294,47900,6616670,1554923
13,237276581,44623,6548935,1582124
14,235881233,49565,6525747,1758474
15,236807668,44818,6539631,1744824
16,237092684,40000,6613345,1823708
17,236183116,47526,6584413,2320872
18,237524399,40902,6582138,2126619
19,236903665,48582,6595940,1973350
20,235682689,50064,6541129,2092902
21,235376308,48269,6495843,2113623
22,237104927,47956,6591936,2181503
23,237007554,41195,6664055,2287976
24,237777381,48782,6596569,2323324
25,238324531,54270,6603793,2229427
26,235387299,52529,6574947,2244055
27,236926224,52361,6675490,2428026
28,237625980,52810,6607329,2371704
29,236848055,43327,6580943,2506815
30,237110308,51627,6600881,2410394
31,237223658,51896,6574539,2620931
32,236110355,51551,6613043,2573831
33,236794716,52196,6610070,2553389
34,237250645,52143,6555611,2777239
35,237460037,53718,6616747,2752775
36,237158250,51336,6603356,2813711
37,238181764,53056,6626538,3044488
38,235281565,41379,6585665,3174783
39,234714112,52740,6550972,3123996
40,234845173,44493,6563898,3185721
