cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,236208335,36795,627629744,11139485637
2,237193928,40051,633788531,5625332968
3,237915434,45658,632676336,3756848716
4,239687175,46593,640560003,2821776272
5,236363558,44682,633905825,2233610271
6,237212962,34351,638599881,1831500514
7,237236953,44627,633597229,1570789604
8,239106826,49949,639597699,1372234435
9,237808197,43398,639749643,1216981572
10,237437481,42871,646196986,1082704649
11,237003876,46380,633941359,967850191
12,237657803,42093,648149798,886674658
13,237687482,47531,639830494,817748414
14,238129174,57297,638828951,759656754
15,237024533,48670,636882596,708397226
16,239142871,52293,636879646,663908020
17,238096659,48561,639568600,624819034
18,237481641,49411,640737814,589805065
19,238471090,51456,640613255,558671792
20,238320403,48582,638212213,531374696
21,237374895,47393,640054481,506783711
22,237992093,43835,642943052,484412136
23,238036829,45666,643753477,463610837
24,237830444,43340,640321606,444531560
25,237573715,48937,645740851,427624802
26,236332320,45960,636833862,411825469
27,237220309,49653,635951341,396933527
28,236326987,51613,634587975,387478657
29,243001417,51814,638690169,370194136
30,239167401,54435,639789846,359436658
31,241054243,48911,643778682,346236925
32,238857760,46008,642374229,335691228
33,238781595,54931,646690212,326113704
34,238813344,54731,641472613,316772800
35,239921196,52526,640735444,307288359
36,239107894,41622,641300983,299764863
37,238928486,52844,645191978,291762173
38,238286369,48339,643811201,283362387
39,236430395,49426,641504918,277583050
40,237909372,47793,642856258,271237718
