Thread Count,true Throughput,false Throughput
1,6666.000000,6666.000000
4,10000.000000,10869.000000
8,11627.000000,14492.000000
12,10204.000000,12500.000000
16,10989.000000,12048.000000
20,11111.000000,16393.000000
24,10416.000000,27027.000000
28,10101.000000,27777.000000
32,9708.000000,28571.000000
36,8695.000000,29411.000000
40,7352.000000,30303.000000
44,7299.000000,29411.000000
48,7407.000000,29411.000000
52,7692.000000,28571.000000
56,7246.000000,27777.000000
60,8064.000000,27777.000000
64,7246.000000,27027.000000
