Thread Count,true Throughput,false Throughput
1,6849.000000,6849.000000
4,10309.000000,11363.000000
8,11235.000000,15384.000000
12,11627.000000,12987.000000
16,10526.000000,12658.000000
20,12048.000000,17543.000000
24,11494.000000,29411.000000
28,10752.000000,31250.000000
32,9803.000000,32258.000000
36,8547.000000,33333.000000
40,7633.000000,33333.000000
44,7692.000000,33333.000000
48,7874.000000,32258.000000
52,8695.000000,32258.000000
56,7575.000000,31250.000000
60,8333.000000,30303.000000
64,7575.000000,29411.000000
