Thread Count,true Throughput,false Throughput
1,5376.000000,5376.000000
4,7633.000000,7936.000000
8,8130.000000,9708.000000
12,7692.000000,8771.000000
16,7575.000000,8547.000000
20,7812.000000,10526.000000
24,7299.000000,13888.000000
28,7692.000000,14492.000000
32,7352.000000,14492.000000
36,6622.000000,14705.000000
40,5780.000000,14705.000000
44,5917.000000,14705.000000
48,5952.000000,14925.000000
52,5813.000000,14492.000000
56,6172.000000,14285.000000
60,5952.000000,14084.000000
64,6711.000000,13888.000000
