thread_number,1e6_ops
1,4587218.795575
2,8647849.942577
3,12111740.739953
4,15605667.991099
5,19283192.443580
6,22656311.101239
7,26030105.639279
8,27954867.202360
9,31372818.702818
10,32778290.885501
11,32908058.110629
12,35089034.213633
13,38327219.247562
14,39559716.182772
15,40533401.732098
16,42186408.492597
17,42865923.022919
18,45526682.482940
19,46937358.480931
20,45728320.911845
21,46632186.206423
22,47439493.653616
23,47270294.141769
24,48045760.319593
25,47870582.454780
26,48086764.680637
27,48965831.838406
28,50065405.445674
29,52879648.511092
30,51176341.954995
31,52101343.573818
32,50342578.731136
33,51906909.318318
34,51910980.766099
35,51248915.572946
36,51393686.275362
37,51925328.884648
38,51866017.421692
39,51984181.629404
40,8488011.282468
