thread_number,1e6_ops
1,3393243.179409
2,6282195.782219
3,8965582.714866
4,11644692.530220
5,14312326.830685
6,16913139.880952
7,19431910.052797
8,21193172.204188
9,23775888.852094
10,26498971.283436
11,28291295.438897
12,31007671.173818
13,34730781.912848
14,36816229.654339
15,39147508.202382
16,41272607.844808
17,42892331.112840
18,45509910.329093
19,47690390.171774
20,47303584.518994
21,45944107.064104
22,46508236.050506
23,47288116.373406
24,46569081.157102
25,44730116.814489
26,45445247.769990
27,45539661.151222
28,48315534.454122
29,46185434.148623
30,48507824.142257
31,45305463.707537
32,49795775.077464
33,50938402.532983
34,49215364.367427
35,49288848.176300
36,51328230.896556
37,51434209.499662
38,52241388.020245
39,52637463.261683
40,52516529.052354
