Thread Count,true Throughput,false Throughput
1,6666.000000,6666.000000
4,10101.000000,10869.000000
8,11764.000000,14492.000000
12,10989.000000,12500.000000
16,9708.000000,12048.000000
20,9900.000000,16393.000000
24,9803.000000,26315.000000
28,10416.000000,28571.000000
32,9090.000000,29411.000000
36,7633.000000,28571.000000
40,7407.000000,29411.000000
44,7299.000000,29411.000000
48,7299.000000,28571.000000
52,7692.000000,27777.000000
56,8333.000000,27777.000000
60,8403.000000,27777.000000
64,8849.000000,26315.000000
