Thread Count,true Throughput,false Throughput
1,6756.000000,6896.000000
4,10526.000000,11363.000000
8,11764.000000,15384.000000
12,11627.000000,12987.000000
16,11235.000000,12500.000000
20,11235.000000,16949.000000
24,10869.000000,28571.000000
28,10416.000000,31250.000000
32,9090.000000,33333.000000
36,8620.000000,33333.000000
40,7518.000000,33333.000000
44,7936.000000,32258.000000
48,7751.000000,33333.000000
52,7692.000000,31250.000000
56,8130.000000,30303.000000
60,8474.000000,30303.000000
64,7633.000000,28571.000000
