Thread Count,true Throughput,false Throughput
1,1677.000000,1663.000000
4,2092.000000,2096.000000
8,2136.000000,2202.000000
12,2066.000000,2164.000000
16,2092.000000,2155.000000
20,2096.000000,2257.000000
24,2105.000000,2409.000000
28,2016.000000,2421.000000
32,1782.000000,2433.000000
36,1845.000000,2439.000000
40,1811.000000,2439.000000
44,1808.000000,2444.000000
48,1828.000000,2450.000000
52,1821.000000,2433.000000
56,1915.000000,2427.000000
60,1908.000000,2450.000000
64,1980.000000,2450.000000
