thread_number,1e6_ops
1,1187872.752391
2,1324844.382355
3,1392481.225492
4,1361860.202656
5,1429629.714010
6,1461944.608194
7,1453580.325838
8,1463112.078984
9,1468330.269395
10,1486365.325618
11,1444928.571134
12,1464009.816982
13,1474019.970553
14,1487373.824164
15,1440682.835488
16,1472465.091269
17,1475052.788415
18,1496331.144918
19,1469786.579111
20,1484061.402405
21,1448569.453430
22,1472824.886660
23,1478128.995138
24,1465623.380056
25,1482024.879626
26,1479567.261198
27,1479201.383492
28,1482418.752268
29,1477895.683983
30,1496630.197176
31,1481516.634030
32,1492951.981960
33,1498693.276593
34,1487250.694378
35,1486038.675559
36,1478271.247929
37,1453552.936886
38,1472816.687080
39,1460979.741079
40,1471114.301442
