thread_number,1e6_ops
1,2895764.277560
2,5343964.259567
3,7732455.553227
4,9985072.715693
5,12250224.806938
6,14284350.334320
7,16441902.840488
8,17877166.560631
9,20039924.740463
10,20712375.219590
11,21427341.193082
12,22588539.564403
13,23534419.335389
14,24599480.483572
15,25791046.205020
16,26959435.350802
17,27944389.212359
18,28822223.917609
19,29744257.387767
20,30370164.933077
21,30791534.261786
22,31262531.390317
23,32190290.455566
24,31824876.614953
25,32484027.603627
26,21468381.935997
27,32915087.894476
28,34399610.018501
29,35114810.682712
30,34986754.889268
31,35125535.326330
32,34816519.380024
33,35130956.260414
34,34857674.546232
35,34945822.094175
36,35051627.191174
37,35102785.167304
38,34504744.091770
39,34847664.133195
40,35485533.293273
