Thread Count,true Throughput,false Throughput
1,802429.400000,809835.200000
4,827277.800000,2444877.500000
8,789681.600000,5574969.100000
12,658387.100000,4777908.100000
16,599582.600000,3977388.000000
20,559657.100000,4150385.800000
24,486549.200000,3797077.400000
28,464468.700000,3949235.900000
32,450079.200000,4227984.300000
36,460487.200000,3644174.500000
40,408334.200000,3419558.000000
44,371112.100000,3579657.700000
48,399734.600000,3443909.300000
52,353983.200000,3488371.700000
56,388707.200000,3523396.600000
60,346867.100000,3553384.900000
64,518848.800000,3547157.200000
