cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,240145268,36760,59622575,20395605
2,240708502,42735,60671073,11965081
3,239468264,43869,59793556,9627001
4,239373898,43293,60010171,8013154
5,239847342,42693,59688975,6568352
6,239840519,40666,59893341,5814613
7,240503320,32525,59886885,5324201
8,239405464,40877,59925777,5149008
9,238325567,42953,59766872,4619408
10,239609541,43577,60105195,4759263
11,240902449,44429,60580637,4891062
12,240027756,51065,60156231,4334177
13,239331241,43531,60544318,4148152
14,240203874,35872,59984596,7455339
15,239643804,35731,59973232,4051077
16,239607344,35684,60999961,3911191
17,239584291,47109,60347782,4108369
18,238821770,42345,60471565,7128769
19,239308420,43240,60180687,3791391
20,238190276,45944,60170579,4046717
21,238961127,49098,60272473,3822963
22,239184124,41249,60887864,3814761
23,239985236,35220,60310821,3697890
24,238659093,37047,60542529,3746542
25,237899327,44693,60187622,4381532
26,238716721,44799,60948439,30138287
27,238945938,46955,60384064,29952768
28,238632779,50506,66454416,3798757
29,239343431,43502,60895864,4142159
30,239153191,53449,60364058,3764362
31,237770383,49533,60369447,3888873
32,238444650,47771,60253562,10905760
33,239371387,51829,60531963,4297320
34,238981975,47367,60315382,4610983
35,237996832,40507,60999469,17739821
36,237561790,46858,61210998,17113818
37,238999763,47667,60351476,25038467
38,239235606,43030,61553466,22560993
39,239010536,46910,60763233,6169188
40,239375173,46127,60793086,14117037
