cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,238925837,45473,710437,877449
2,241896683,44707,711115,924127
3,240752439,35043,718997,915877
4,241144410,42732,712449,935508
5,238748346,45862,715422,968253
6,240329149,47693,722234,1074307
7,238886802,42636,710864,1082853
8,238977341,33024,711259,1132543
9,240565726,44790,722408,1302646
10,239782753,46344,709888,1599307
11,240336558,40371,716214,1369799
12,238249878,45138,716327,1427475
13,238472066,43648,727543,1436135
14,238078343,47531,708086,1650933
15,238788701,36831,702041,1688674
16,239153387,46538,728813,1735484
17,239164132,36551,724112,2346673
18,239008681,44087,711366,1824356
19,238714820,45976,729044,1814003
20,239060305,39026,729431,1991363
21,238882965,47033,729722,1942683
22,237818498,52311,713332,2228372
23,237933350,50119,704704,2400245
24,239304964,38049,705763,2131111
25,238577629,49866,728617,2194524
26,240349306,53693,710557,2458478
27,240111602,51226,714873,2463476
28,238786600,43371,731874,2465685
29,240483525,47800,710382,2683981
30,239598704,51741,717752,2666784
31,238211593,53411,713406,2797507
32,239876698,51969,715975,2672256
33,240351897,52856,710941,3472671
34,237998101,50406,709206,2901587
35,238785945,51522,712313,2786368
36,239938874,52838,709319,3024131
37,237801635,43448,712451,2894041
38,238324319,51953,724691,3037029
39,240113124,56393,707168,3096541
40,239827579,40805,712173,3332687
