cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,235438438,43538,625728119,293976777
2,235608541,46031,627211210,158592324
3,237156403,44464,626911159,111198431
4,237265927,35493,637089803,85717803
5,235634370,44514,633711936,69829342
6,236767391,45706,635726298,59181549
7,235073804,44595,633813705,52435458
8,234925859,47760,632698680,47092404
9,235383197,46223,633835480,41813360
10,234998571,47751,635091204,37567334
11,235727646,39244,634892022,35257804
12,235116118,47807,634691683,32184565
13,236654376,45955,639519201,28892480
14,237139080,48255,640988204,27414037
15,236395783,47609,639425890,25559105
16,237013807,50190,638896454,24279136
17,237182513,40673,641523736,23638571
18,240536707,50666,641007298,21850254
19,236851418,47166,641607820,21160749
20,237466605,47811,639209777,21446938
21,237317666,47180,642301504,21514788
22,237909006,48555,642997821,22012225
23,237352847,48222,645502730,21084831
24,237515123,49917,641317677,21496298
25,236722621,39447,647199531,21864097
26,237620323,39553,641014657,21793586
27,237890955,51635,640909184,21942479
28,238704012,49953,642957564,21163301
29,237298527,51738,642454910,21644231
30,236931115,50360,642247022,20610099
31,237146916,51147,643024493,20254114
32,237552218,51719,641647624,20099537
33,237686760,51863,641742113,19590835
34,237698808,51733,641140967,19966495
35,236696125,43807,642857510,19868077
36,236981277,53331,641704789,19746719
37,237060165,53124,641591867,19845356
38,236917199,45978,643105963,19387110
39,236963280,52102,641617767,19662551
40,235702707,49042,643980514,19234751
