thread_number,1e6_ops
1,1994936.627407
2,3199616.834365
3,4576178.529684
4,5868847.342536
5,7075780.061943
6,8529188.666216
7,7416310.055870
8,8988130.068704
9,12118280.525543
10,12693272.205242
11,12721093.236505
12,13630423.683592
13,14437085.060129
14,14901840.903387
15,15012846.041973
16,15392785.638420
17,15896676.435757
18,16084429.098469
19,17886458.763056
20,18548155.035422
21,19369954.647382
22,19203723.371517
23,20553868.379851
24,20706426.663997
25,21639086.821015
26,21830890.889622
27,22208345.460941
28,22688031.713875
29,22646248.054546
30,23156975.136796
31,23063641.258160
32,23215058.029520
33,22476091.170398
34,23191379.671411
35,24368576.671645
36,23573754.273833
37,23838139.225365
38,24427481.512732
39,24347130.478853
40,24190228.473321
