Thread Count,true Throughput,false Throughput
1,232020.666667,243036.966667
4,N/A,929192.483333
8,275972.200000,460645.833333
12,288058.950000,690795.466667
16,259404.166667,671953.350000
20,269108.333333,686965.133333
24,245379.766667,869797.416667
28,288145.950000,892504.866667
32,3455.266667,651782.816667
36,229854.450000,880796.983333
40,275877.450000,867616.500000
44,251556.550000,878907.583333
48,281844.150000,441554.700000
52,312413.783333,666629.116667
56,265419.916667,890921.500000
60,258530.933333,440563.150000
64,253523.466667,430249.216667
