Thread Count,true Throughput,false Throughput
1,170516.183333,170549.616667
4,199699.716667,688694.133333
8,N/A,673966.333333
12,72385.300000,987250.866667
16,3281.733333,799984.850000
20,4290.483333,646790.616667
24,34.250000,947627.166667
28,210361.600000,309592.033333
32,N/A,773496.583333
36,148529.966667,790372.683333
40,90315.033333,472925.550000
44,N/A,793563.683333
48,22.183333,621071.733333
52,734.516667,475568.250000
56,227021.766667,636797.566667
60,195892.133333,628865.300000
64,200592.700000,481939.966667
