threads,scheduler_avg_when_time_ns,insert_avg_insert_time_ns
1,,
2,603267049.380333,1294.0
3,599037342.711005,831.0
4,612955642.397737,663.0
5,616006867.654832,433.0
6,608555449.581516,370.0
7,612362222.589787,299.0
8,617320575.213865,280.0
9,613414441.994455,249.0
10,611707553.813992,236.0
11,610949811.651336,235.0
12,603025438.290635,242.0
13,597021442.885615,230.0
14,599797023.902587,248.0
15,599363244.252755,216.0
16,601480943.270973,230.0
17,,
18,,
19,600628111.908396,228.0
20,598120620.256532,221.0
