cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,238913476,30458,627460282,216566209
2,238805215,37358,628261243,115901984
3,238816903,32493,633391027,81610840
4,237763849,41445,630097607,63112624
5,239115376,42633,636883026,51408767
6,240831915,39590,634626821,44257536
7,237403325,38662,628719349,38013181
8,239337777,40937,635297384,35753810
9,239489683,42500,634788389,31849988
10,239389841,42364,639494816,30586641
11,239167642,35433,635055743,29692281
12,237185823,36267,671670055,28774433
13,237652308,41104,633666985,26203336
14,241225731,35385,640381302,25441160
15,239834751,46824,638681749,24980257
16,240965910,46361,641359552,23804804
17,242047035,43366,643901010,23099420
18,238169028,35480,634504301,22105093
19,240956331,36379,641785647,21279473
20,239646560,42086,640108477,21210121
21,240768173,44493,644429435,21338021
22,240144185,39528,640259993,21209849
23,240405539,43780,638205413,20715788
24,239939188,43665,640567996,21075247
25,240517552,47556,637222533,21093705
26,238702911,44542,637428866,21635041
27,237640789,49340,634280920,20373372
28,238163809,41437,639306258,19763760
29,239933900,47200,642723860,18991489
30,239693943,46224,641684215,25952250
31,239505699,49595,639174296,19247214
32,239882211,47474,643668215,19191895
33,238459357,46342,640995820,19090636
34,237294920,46357,635905044,19078635
35,239395451,45664,647905259,24153432
36,239539410,47094,645484778,19417468
37,241105592,53107,638981056,29576374
38,239467497,46213,639966289,26074412
39,238032799,45409,635219576,34402516
40,239458354,49778,640735303,33349645
