cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,236677802,35711,636455442,298544819
2,236870906,35685,637688819,158999395
3,237593038,42522,634959149,113890440
4,237642881,45384,748449080,85650263
5,237093570,45119,637405474,70242752
6,237449728,44679,637865201,60133901
7,239687250,46152,638942005,51572551
8,236310069,46249,637013500,47477808
9,236513056,38839,638946662,41815372
10,236877040,47105,640440789,37705912
11,236546140,41918,637929482,34868097
12,237471781,48226,639384307,31999502
13,236995185,36893,638736230,28821860
14,237442288,48358,638297138,27189359
15,240261006,41622,640178745,25774906
16,239189115,48260,646771178,24363727
17,236577418,48605,644338438,23488676
18,235663638,44531,635158336,21846556
19,236284234,48885,639262983,21748236
20,238626151,48182,638700827,20994839
21,237061161,53411,640101707,21641242
22,236862818,48507,639266715,21637846
23,236844708,41751,638570139,21081109
24,236539761,41269,639549654,21596010
25,237015522,51710,640263231,21506505
26,236486810,42584,641000479,21754831
27,236642365,51848,640146628,22153568
28,237145499,52664,639649818,21160128
29,237104294,50706,641768398,20482781
30,240817909,57046,642052532,21626692
31,236468327,50333,639499783,21244361
32,237033550,48797,640848579,20221196
33,236855444,51391,639556693,20714717
34,236716797,52289,640996746,19565766
35,236672427,52388,642714474,19931401
36,237649598,48733,642153277,19748367
37,237460260,52688,640008608,19767912
38,237530391,51995,638063395,19260259
39,237294152,50413,671036789,19003412
40,236553928,48117,640069241,18953529
