cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,237062500,44548,6528229,105927750
2,237817447,46722,6478536,53653349
3,239980612,44835,6532347,36213336
4,235729961,34171,6537082,27415979
5,235760326,37496,6481767,22147269
6,236966059,45069,6510913,18665843
7,237488896,41925,6563815,16212600
8,237295478,36598,6624588,14367393
9,237390143,47733,6582357,12959446
10,238390232,54611,9906519,11865789
11,236749370,40922,6541507,10827452
12,236274782,49117,6538693,10178366
13,237122161,48669,6560446,11895848
14,237394868,42285,6614384,9836627
15,237473288,40375,6634444,8463020
16,236787405,49947,6538306,8078273
17,237197545,44541,6648399,7750861
18,237188270,49395,6589779,7430266
19,236829852,49653,6533098,7085412
20,237134251,50154,6576790,6879396
21,238640739,42569,6572873,7547042
22,240646915,48095,6772305,6529516
23,236645054,49975,6607214,6305717
24,240008065,49671,6603630,6282160
25,236904299,43037,6629443,6030697
26,237550493,51913,6613805,5888536
27,237216983,46756,6630374,5733116
28,236769441,51315,6557053,5721689
29,236594687,51071,6590183,5734882
30,237690971,51376,6828012,5482479
31,236255874,58113,6623126,5715307
32,235997470,45758,6610780,5461042
33,236366960,56971,6628492,6359413
34,236597461,52631,6606539,5363989
35,236624477,53593,6606824,5246249
36,236677064,52299,6605855,5288173
37,237282917,52386,6596624,5205804
38,238173963,45771,6600023,5082934
39,236652105,51907,6620999,5083535
40,236453426,47004,6614639,5113929
