threads,scheduler_avg_when_time_ns,insert_avg_insert_time_ns
1,689667437.907557,3240.0
2,496519820.873598,1313.0
3,598643309.025198,825.0
4,612570137.395254,575.0
5,617510260.698574,435.0
6,611049832.186591,373.0
7,603126991.337953,322.0
8,609660982.10156,272.0
9,612583032.308872,255.0
10,611663696.762794,233.0
11,614610908.620385,237.0
12,598319878.617701,235.0
13,593977081.984089,246.0
14,599952236.638253,249.0
15,601263967.426257,232.0
16,605145266.604734,232.0
17,598667798.176324,223.0
18,593777841.218856,229.0
19,596764854.080797,213.0
20,599724981.692789,224.0
