thread_number,1e6_ops
1,1957427.509775
2,3576433.010275
3,5088229.207548
4,6597895.656603
5,8145323.386199
6,9322172.443168
7,10741534.993708
8,12146666.380815
9,13486842.917136
10,15174264.823182
11,16578328.765534
12,18010124.715791
13,19266341.937611
14,20211578.032699
15,21038252.929619
16,22043406.597755
17,22848666.654633
18,23419436.296042
19,23946693.893100
20,23990352.807406
21,23761007.791781
22,23852153.855456
23,24149635.196818
24,23527095.591342
25,23805795.935241
26,23593266.802523
27,23836600.485061
28,23885633.104589
29,24295567.630831
30,24348047.548328
31,24483629.241660
32,24606101.225514
33,24652976.687923
34,24714755.880740
35,25536285.619065
36,25519275.793576
37,25908729.918046
38,26328050.724044
39,26360948.553393
40,16055879.856677
