cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,235350150,43706,59528278,26985910
2,235447075,43680,59500205,16813882
3,236358723,35258,59262483,12629387
4,234857457,33987,59421842,10009645
5,236663094,43026,59702144,8395370
6,234995161,43545,59459483,7372255
7,234618276,45096,59360812,6656332
8,234796582,48553,60272025,6102448
9,234676384,47347,59372105,5643563
10,235286901,47390,59414449,5229894
11,234787413,46695,59555348,5004825
12,234855344,44130,59876577,4693676
13,234314374,47789,59693215,4383193
14,237166917,47340,60127029,4208546
15,234842657,38838,59729946,4353338
16,234825561,46931,59714173,4067120
17,236286894,46909,60163016,4076696
18,235669247,46474,59988535,3742094
19,236356405,42045,60204736,3732457
20,236943658,43437,60632236,3754183
21,236769659,49536,60641983,3889832
22,234967982,47220,59959819,3998689
23,235494827,48839,59991636,3778956
24,234787283,47782,59703164,3874868
25,235060105,52549,59900054,3895632
26,235120065,51303,59794586,3911848
27,236212794,50687,60217728,3930369
28,237257864,41784,60620301,3876125
29,236524846,51615,60191297,4408502
30,236990020,47662,60740636,3903416
31,236746212,50144,60186369,4087524
32,237353083,49825,60535094,3886622
33,237074517,52770,60713567,3755250
34,234842664,42815,60393710,3829447
35,236827304,53082,60816160,3765946
36,234862233,44564,60124107,5422407
37,236098994,52035,60401597,4032020
38,235030847,52762,61086033,4638978
39,236850500,51551,60797004,4057965
40,237122231,54662,60571358,4022448
