cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,237592891,42854,59656917,27051419
2,236854076,45371,59856906,17115612
3,236445858,40062,59914463,12709155
4,237485058,43780,61107321,10704825
5,236474878,35276,60654262,8714084
6,239332427,37327,60379501,7402171
7,236807224,43507,60102656,6774482
8,237335925,46166,60090478,6239489
9,236465681,44002,60132560,5701512
10,236852699,45760,61531880,5321823
11,236325807,46944,60799834,5244578
12,238460852,46307,61214465,5249568
13,238110652,38268,61436035,4395881
14,238321483,46182,60438610,4242293
15,237394129,40484,60971777,4190329
16,238224991,53511,60537303,4124662
17,237176732,39602,60244205,4044293
18,236607379,47438,60609707,3901046
19,237485008,44897,60493857,3837309
20,236937492,44405,60286298,3873307
21,243452693,39922,67902356,4055719
22,241113143,48166,70922740,5816961
23,236068367,51511,61497148,4030969
24,236584716,47225,60612645,4062159
25,235930716,48857,60191353,3954297
26,236718922,49298,60986988,4075032
27,237909382,40904,62188886,4064608
28,238836495,49786,60566939,4030612
29,238644392,49911,61293763,3894032
30,236493180,48082,61709547,3987303
31,240340830,47717,60908223,3914670
32,236754408,45034,62356458,3954819
33,237112755,48439,61045302,3772004
34,235738410,54020,60960790,3840011
35,237255733,58014,61449404,4832283
36,238932113,49923,60862566,3959842
37,236681589,52553,60798458,23129573
38,236543102,51201,61541332,4543859
39,236990892,50860,60716721,4715364
40,237334288,52819,60964704,4051737
