thread_number,1e6_ops
1,1951933.584726
2,3576496.735540
3,5073989.421138
4,6608721.266428
5,8162183.033967
6,9567239.323344
7,10767612.546155
8,12134102.656474
9,13512669.336887
10,15170330.958974
11,16324972.743417
12,18003316.931111
13,19538358.222629
14,20464388.127585
15,21335326.906279
16,22162024.745629
17,22876711.203734
18,23524736.154205
19,24049675.856064
20,24047896.291235
21,23607116.950861
22,23471172.881501
23,23932185.376602
24,23914072.719156
25,23578226.460424
26,23428688.250705
27,23504384.296307
28,23961488.711958
29,24045058.901498
30,23092484.036108
31,24274151.882980
32,24636676.768525
33,24431980.876600
34,25338466.163316
35,25072074.064511
36,25736980.362967
37,25971274.368100
38,26121598.076531
39,25772539.606466
40,26252254.182621
