cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,239170932,34616,724782,1038480
2,241365451,39753,732140,845215
3,240750595,37131,732228,840714
4,240862515,33895,740824,863295
5,240333167,31091,726751,875935
6,240371732,43742,725440,1019987
7,238638747,38886,732964,1046482
8,240854006,35753,721973,1169589
9,240337850,40253,740687,1246381
10,240725275,35568,732762,1292667
11,240247441,35398,720684,1382596
12,241365586,34993,722793,1400332
13,241248622,44277,717943,1520822
14,239792245,36125,734642,1549155
15,239970179,34829,737540,1590532
16,240286469,42029,745968,1639113
17,240038835,37422,726557,1711260
18,240414158,43598,732235,1746549
19,240251223,41335,729251,1841510
20,239990680,42998,724355,2035958
21,239455115,41839,753193,2003082
22,240403100,44571,754404,2009201
23,240270990,48153,724522,2083315
24,239724998,43604,725042,2238189
25,239856730,50642,727368,2358806
26,240442303,40173,737385,2288590
27,239579171,48207,747795,2354460
28,240759259,38464,723303,2405363
29,238190024,45482,731931,2554778
30,240353183,50811,724156,2593030
31,239272611,46385,726217,2636976
32,241872197,39953,732249,2750003
33,238283493,51169,744471,2772572
34,237841138,39000,731566,2751809
35,238392815,49449,761989,2793156
36,238345017,44269,719487,3268210
37,238559203,46611,730038,3017588
38,238171286,42802,744764,3068092
39,239761037,40353,725545,3137638
40,240681606,48051,735087,4330517
