cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
10,240089184,46126,700404,1372754
11,240193979,47925,708057,1431272
12,240198744,48483,721482,1541115
13,239344289,47233,707011,1694428
14,239602882,44280,708991,1590046
15,240127399,47677,717404,1563285
16,238981677,50811,709815,1804227
17,239510461,41060,710019,1664036
18,239458833,47782,793460,1888098
19,241988951,44305,706533,1852291
1,236390538,36592,706897,898680
20,240413239,46516,726996,2228400
21,239547537,45729,723680,1953347
22,239863897,48246,711506,2019410
23,239629371,51793,705907,2248424
24,240032126,47086,706977,2256132
25,239438094,50356,706160,2307354
26,238874938,51277,710973,2379439
27,238962752,52393,707543,2371753
28,240792824,51005,708309,3138156
29,240832184,49104,710226,2657387
2,238548235,42577,714652,906892
30,239221094,51513,715469,2454533
31,239601077,50753,718360,3465234
32,239201411,48754,722918,2757313
33,239085890,52095,718700,2873964
34,239906820,41714,711783,2824497
35,240140697,54186,720908,2904366
36,238898250,45691,727580,3050745
37,239668187,49922,702800,3003488
38,239893331,48070,706480,3033723
39,243992714,52465,716770,3423938
3,240076548,51044,714242,908784
40,239375697,43904,715352,3327892
4,239755921,46913,702322,922995
