threads,scheduler_avg_when_time_ns,insert_avg_insert_time_ns
1,723258341.401201,3256.0
2,551645989.999607,1350.0
3,599726697.90756,834.0
4,612063162.157961,589.0
5,617788245.297857,436.0
6,607228631.134563,335.0
7,603718413.399866,405.0
8,614495838.325598,275.0
9,617101982.342471,248.0
10,614207774.000577,238.0
11,611498853.729002,238.0
12,602174345.647566,245.0
13,,
14,602633333.024034,264.0
15,599275669.571764,245.0
16,601625180.306055,217.0
17,,
18,599097317.382947,212.0
19,604638303.241815,224.0
20,594535496.02301,224.0
