Thread Count,true Throughput,false Throughput
1,799286.000000,790354.300000
4,762962.600000,2312061.200000
8,740660.500000,5332493.300000
12,544391.900000,4603670.600000
16,515842.700000,3977223.700000
20,451115.500000,3486072.800000
24,470938.000000,3064028.000000
28,406872.900000,2395034.000000
32,432996.600000,2322510.200000
36,396511.100000,2378649.100000
40,817.700000,2299937.800000
44,383280.300000,2222110.700000
48,341014.700000,2159972.400000
52,360859.800000,2150408.400000
56,355361.100000,2072017.800000
60,362186.000000,1982959.000000
64,429811.900000,2097628.700000
