Thread Count,true Throughput,false Throughput
1,290696.500000,294342.800000
4,330049.000000,889583.000000
8,463458.400000,2005571.900000
12,304402.000000,1539685.500000
16,256790.700000,1273638.200000
20,250643.100000,680887.100000
24,256827.500000,744051.600000
28,257515.900000,522181.100000
32,257152.500000,340921.800000
36,247451.800000,369600.800000
40,237451.800000,337777.600000
44,249879.600000,366530.100000
48,241451.800000,352422.300000
52,242451.800000,363208.200000
56,247451.800000,305010.800000
60,237451.800000.100000,296161.900000
64,230225.300000,286696.700000
