Thread Count,true Throughput,false Throughput
1,861529.600000,879620.300000
4,917396.400000,2598932.100000
8,847960.600000,5932509.400000
12,667916.100000,5075322.300000
16,633698.200000,4443528.200000
20,483062.100000,4193324.600000
24,492680.600000,4013806.000000
28,523658.800000,3504284.400000
32,432494.900000,3549815.500000
36,404652.400000,3583273.200000
40,460394.500000,3556157.200000
44,381845.400000,3536512.800000
48,421256.400000,3548511.700000
52,398722.900000,3577393.200000
56,403726.000000,3641600.300000
60,378406.500000,3541700.900000
64,559879.300000,3552673.400000
