cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,239906831,38342,6545420,2270718
2,239113426,31015,6622726,1794087
3,240208690,40591,6558360,1590468
4,239537805,40133,6558078,1493707
5,240036097,39013,6603299,1423767
6,239454772,31111,6593240,1365222
7,239678136,39582,6577328,1399391
8,239148798,40028,6596040,1377513
9,239535172,37335,6577318,1456633
10,240068419,41484,6570204,1515443
11,240629294,42177,6591804,1512708
12,238656899,35387,6596942,1634098
13,239479577,44651,6557669,1578850
14,240548822,42264,6652749,1590138
15,240400658,41006,6594187,1853607
16,242509632,43789,6649486,1731723
17,239666115,42876,6602331,1770174
18,239692070,43773,6591420,1825306
19,239989308,36413,6605187,1929273
20,238896255,46515,6607638,1986797
21,239474315,44449,6655505,2025486
22,240324700,43655,6676899,3900533
23,239962988,36493,6694695,2206971
24,241621147,36668,6651972,2228160
25,238040224,46830,6595662,2434569
26,238882415,48273,6767787,3817671
27,239795082,46271,6606397,2467446
28,239824442,45864,6595362,2426873
29,240188962,39003,6687254,2554078
30,239822383,47434,6615173,2591215
31,238137505,46020,6574891,2770055
32,241291075,49797,6663918,2643837
33,239963510,46499,6661054,2780646
34,239836512,40391,6685667,2808323
35,239299385,41461,6655046,2764439
36,239975680,50727,6635986,3052327
37,239969359,52136,6654387,2814362
38,240434743,46985,6666991,2937514
39,241490616,50084,6662415,3017108
40,239226728,48317,6620751,3134740
