thread_number,1e6_ops
1,2772495.473076
2,5076062.254858
3,7117918.751876
4,9335115.282373
5,11308373.498886
6,13327308.323786
7,15139961.984161
8,16650795.960497
9,18422903.309179
10,18994131.933886
11,19725787.488450
12,20596840.411726
13,21492089.148842
14,22315079.732003
15,22543255.717280
16,22889864.638039
17,23089500.282950
18,23369010.724109
19,23570773.758497
20,23861576.702835
21,24171547.405662
22,24169066.876557
23,24933147.375271
24,24538690.410827
25,24961614.029945
26,25179656.217621
27,24909258.684271
28,25710211.821036
29,26346519.915848
30,26244996.358638
31,26216570.791793
32,25935462.299356
33,26087610.753647
34,26844026.942276
35,26012558.342917
36,25803708.761900
37,17002609.611531
38,25376027.043943
39,26055727.259903
40,22564381.483001
