thread_number,1e6_ops
1,1958300.984567
2,3224484.620950
3,4537488.015870
4,6046514.201191
5,7234268.585605
6,8481227.709955
7,9817866.404051
8,10897334.349648
9,12109015.480492
10,12670472.175409
11,12734792.321134
12,13246894.345102
13,14152494.629801
14,14507398.316158
15,15143310.001379
16,15171174.234928
17,16070716.036056
18,16364337.173814
19,17647297.892512
20,18270098.634051
21,18899818.864136
22,18881420.468899
23,21033273.439685
24,20691881.476158
25,21718673.333083
26,21635242.702638
27,22489166.125334
28,22674674.696646
29,22720256.815242
30,22890324.147820
31,23059382.336919
32,22800054.647171
33,23383211.125657
34,23318967.139518
35,22678973.214931
36,23426468.146715
37,24162840.923792
38,24375301.842410
39,24209874.433065
40,23983260.835134
