cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,236523510,43949,710311,11116091
2,235556060,44708,707213,6044430
3,237158002,42626,726675,4290558
4,238392917,44358,738317,3477022
5,235821517,41722,703890,2993514
6,237162480,37264,706636,2684003
7,237122575,36845,708528,2532417
8,237831887,44793,715900,2383790
9,237265368,45571,721466,2288357
10,237458964,42299,708883,2194668
11,236763044,36714,719231,2157897
12,236847003,39640,708256,2108477
13,236851681,45233,711513,2125945
14,235959752,41238,707932,2141728
15,236804789,48502,711667,2086245
16,236207786,46229,702846,2154143
17,237238891,47911,708198,2084615
18,237795183,40058,706721,2052078
19,237685682,49030,700412,2025139
20,238063890,47512,719929,2684740
21,237567012,40771,732309,2132800
22,237008181,47098,706447,2151553
23,237002140,46571,726971,2735275
24,237247958,45856,723901,2912826
25,237132537,50357,728445,2302008
26,236919922,50163,722044,2320747
27,237403567,50442,713269,2420707
28,237035451,51583,712315,2427443
29,237367023,53320,712257,2434330
30,236786870,47580,708311,2383090
31,237170525,57073,703323,2549326
32,236883016,44801,713475,2876482
33,237064370,51762,710506,2942193
34,237474095,50806,737724,2935230
35,235541721,52093,706063,3003562
36,236118176,53433,705902,3097147
37,236231233,54609,709771,3166922
38,236403346,53402,720549,3133022
39,237804307,52478,715058,3181312
40,236386395,52951,718733,3088645
