cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,239347283,39193,733079,1006918398
2,239024018,38311,726470,503864980
3,238102883,32760,739250,336780131
4,239266499,34069,749900,252809653
5,239740020,38667,746820,202424914
6,239530080,32689,733447,169051505
7,239988816,45116,730633,145074775
8,239089114,42551,755713,127020393
9,239314699,44296,735434,113595188
10,238736236,40310,723824,101953950
11,237606182,42629,724324,92886891
12,237778996,37921,739508,85583501
13,239560958,35887,742328,78845278
14,242655003,45844,749756,73628190
15,239124910,42126,731364,68772040
16,239494606,35226,749428,64604353
17,239148746,35662,736636,60845819
18,238388608,36585,731375,57611187
19,238260416,45643,733601,54729850
20,240099974,46749,734559,52035200
21,240255687,46268,738925,49813232
22,238973159,51453,728467,47777441
23,239359864,41221,741628,45726619
24,239709333,50071,732847,43894762
25,239030002,46050,730604,42326094
26,240316699,45818,814449,40906204
27,240380431,45273,732769,39413861
28,242103142,49737,729117,39067020
29,238372858,43304,731322,37505014
30,239528981,39319,724466,35829567
31,239730849,46384,727373,34887247
32,238652237,45046,752218,33915200
33,238594282,48337,729148,33077030
34,237583529,48924,735784,32148647
35,239915006,47989,729113,43244969
36,238148153,45602,723015,30665036
37,240824036,44417,736496,29866991
38,239876219,53571,739469,29119802
39,239602816,49172,726800,28523615
40,239395544,54399,725344,28930028
