cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,236178035,43387,6531176,3561593
2,236916931,45040,6478210,2431469
3,236019576,44311,6539822,2023591
4,236995381,45361,6565927,1850992
5,236289959,43953,6565266,1655245
6,235061647,44968,6551268,1571276
7,235599117,36733,6534792,1554562
8,234977231,36309,6528183,1586808
9,235546378,38337,6505975,1630735
10,236458383,47897,6540962,1649648
11,235235538,47252,6519590,1607517
12,234973127,39742,6511261,1579115
13,235128997,45846,6551497,1576597
14,235625116,48007,6533138,1517442
15,235459561,46985,6522341,1677577
16,234960342,36549,6547593,1706801
17,234972311,46471,6543075,1818073
18,234883742,47669,6531856,1761406
19,235198401,40396,6562157,1920896
20,235426347,49613,6603845,2142298
21,234867020,48080,6526326,2674663
22,234754432,40391,6532261,2221711
23,235076440,48937,6525174,2121137
24,234684486,48931,6570442,2104019
25,234616037,50773,6561071,2107971
26,235040494,43040,6551643,2289393
27,234877107,50246,6522305,2309234
28,237118127,50222,6583678,2342897
29,235490413,52327,6544331,2357766
30,235616576,43046,6554926,2380012
31,234863486,45211,6505043,2380856
32,235078368,50409,6589204,8755429
33,234753814,50925,6543771,3345157
34,235451734,51671,6557711,2639437
35,236891637,52035,6564081,2756222
36,235402524,52340,6600105,3041513
37,235292947,52711,6575092,2987468
38,235104894,52402,6597270,3120178
39,234852174,43875,6603330,3096452
40,236880171,54911,6594515,3166355
