Thread Count,true Throughput,false Throughput
1,200410.983333,195798.250000
4,N/A,800592.150000
8,303755.733333,575828.600000
12,322133.933333,565178.616667
16,295754.516667,560932.533333
20,102977.433333,742680.716667
24,293100.200000,743336.550000
28,40.650000,926498.266667
32,281737.733333,917012.966667
36,239438.533333,917852.216667
40,291832.483333,919603.033333
44,264114.850000,555989.566667
48,254799.916667,541000.466667
52,49926.950000,910165.500000
56,238758.783333,745709.333333
60,235275.350000,1079728.966667
64,23982.216667,723697.500000
