Thread Count,true Throughput,false Throughput
1,199594.350000,203626.916667
4,N/A,803798.000000
8,286014.033333,799607.150000
12,328878.633333,967941.050000
16,319398.283333,779500.466667
20,308228.000000,754703.416667
24,231019.416667,732176.783333
28,245782.550000,540068.916667
32,265905.933333,757067.183333
36,329342.733333,730501.433333
40,734.916667,376512.583333
44,261079.400000,550317.083333
48,248457.933333,553413.600000
52,309613.700000,906712.650000
56,241283.500000,747256.200000
60,309499.700000,1061854.416667
64,263659.466667,568060.366667
