cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,236172677,36490,712026,889155
2,237721002,35527,719068,901678
3,236514598,48018,706413,922970
4,235062634,35811,705673,915714
5,237009171,37974,703402,926796
6,235056805,35725,702576,1027401
7,235523451,44695,723562,1165955
8,236542397,44749,725373,1176581
9,237532525,46419,709616,1702087
10,237045138,47455,715873,1677454
11,235374995,47669,702258,1458305
12,236187426,45531,709223,1418023
13,237359063,50212,715839,1477312
14,238632778,40541,710775,1509470
15,237152959,49956,708019,1645311
16,237049480,47847,715795,1915299
17,237137066,48240,719393,1836897
18,238873749,48649,719530,1957018
19,237177837,49000,720246,1903978
20,237206643,42171,721580,1939413
21,237753786,48026,712908,2085328
22,235784078,41564,726340,2097323
23,237187626,49322,707920,2163299
24,236973566,49224,714846,2314058
25,236677885,47034,708477,2349308
26,234880491,52842,715844,2340536
27,234900634,53122,699136,2332149
28,234852943,54600,716337,2366767
29,238044036,55811,712589,2434298
30,236800198,52329,708976,2538516
31,236748392,52264,712564,2476341
32,238405195,43996,718478,2676555
33,236982301,44926,726579,2646832
34,236550590,40038,705880,2721165
35,236225329,44166,708975,2823381
36,236207169,54236,707271,2952144
37,236302107,54244,724649,3077488
38,236443606,53193,725866,3119865
39,237032337,52888,721073,3192091
40,236699349,53138,723721,3163152
