Thread Count,true Throughput,false Throughput
1,6896.000000,6802.000000
4,10526.000000,11363.000000
8,11904.000000,15151.000000
12,11235.000000,13157.000000
16,11363.000000,12500.000000
20,11111.000000,16949.000000
24,10638.000000,27777.000000
28,10869.000000,31250.000000
32,9433.000000,30303.000000
36,8333.000000,32258.000000
40,7246.000000,33333.000000
44,7462.000000,32258.000000
48,7462.000000,32258.000000
52,8196.000000,31250.000000
56,8474.000000,31250.000000
60,8474.000000,30303.000000
64,9174.000000,29411.000000
