Thread Count,true Throughput,false Throughput
1,293844.300000,292845.900000
4,320619.900000,866794.200000
8,450290.000000,1991904.100000
12,269548.500000,1517805.100000
16,249728.200000,1093193.000000
20,243898.700000,1198071.900000
24,263385.400000,726375.100000
28,272436.500000,518312.900000
32,260825.000000,683628.900000
36,246164.800000,317346.800000
40,240798.300000,417994.200000
44,224050.600000,331528.400000
48,238550.000000,313598.900000
52,242346.100000,310131.000000
56,246624.700000,304324.400000
60,248953.000000,308170.800000
64,230803.500000,279343.100000
