Thread Count,true Throughput,false Throughput
1,735638.600000,731411.400000
4,771149.000000,2200666.100000
8,757742.700000,5057106.900000
12,550764.600000,4833006.200000
16,483428.300000,3348056.400000
20,448968.000000,3389334.900000
24,469700.500000,3350214.700000
28,419009.900000,2727403.900000
32,445812.000000,2254023.300000
36,395460.100000,2278752.800000
40,382570.500000,2327508.000000
44,380216.100000,2251224.300000
48,358160.300000,2187823.500000
52,354910.600000,2166965.900000
56,351856.100000,2133227.500000
60,355997.900000,2122604.300000
64,436370.100000,2119087.900000
