cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,237711379,41798,708200,882382
2,242182381,40309,715004,937236
3,240169289,34131,714797,890158
4,240105808,43600,707310,911646
5,241746121,40131,703946,934348
6,239640431,44791,711733,1021080
7,240996081,35924,712848,1037334
8,240831798,36462,726993,1177388
9,240307102,47058,705653,1251505
10,240085855,49915,704739,1376553
11,240143216,40204,719186,1368474
12,240022106,44771,713735,1375330
13,239931567,46398,711106,1570917
14,240422022,45862,724835,1557178
15,240144649,46854,732292,1666889
16,240034166,45278,713477,1668824
17,240781465,39458,728781,19690365
18,239747931,42502,722146,7963235
19,239328114,44967,710020,1917650
20,239014754,48040,718735,25137601
21,240222087,47820,744795,1936482
22,238992305,51813,708905,1960656
23,239031423,46947,735753,2067995
24,239091552,45844,709215,2052198
25,239356088,41829,709055,2249270
26,239488797,53002,706988,3001947
27,240451682,45309,735586,2418181
28,239956528,48639,721366,2483548
29,239062932,49233,715774,2552357
30,240824800,49876,717593,2716076
31,239025917,59091,753923,2685557
32,241065550,46605,707806,2669686
33,240113369,39369,709841,2713987
34,239844178,49684,719637,16236565
35,239832947,46695,712300,17819051
36,243064954,40367,712813,22742686
37,239680154,46894,709297,21390593
38,242468571,51547,781588,19780585
39,245962453,41198,722033,22791171
40,238220253,47229,701915,21096690
